id,titulo,autores,ano,link
1,Identification of Unknown Parameters and Orders via Cuckoo Search Oriented Statistically by Differential Evolution for Noncommensurate Fractional-Order Chaotic Systems,"Fei Gao, Xue-Jing Lee, Heng-qing Tong, Feng-xia Fei, Hua-ling Zhao",2013,https://doi.org/10.1155/2013/382834
2,A realist evaluation of the implementation of a national tobacco control programme and policy in India,"Pragati B Hebbar, Vivek Dsouza, Gera E Nagelhout, Sara van Belle, Nuggehalli Srinivas Prashanth",2025,https://doi.org/10.1093/heapol/czae081
3,La religión IA,Juan José Gómez Cadenas,,https://doi.org/10.7203/eutopias.30.32557
4,IA na publicidade ou publicidade na IA?,Rita Dinis Delgado,,https://doi.org/10.11606/issn.1984-5057.v17i2e244076
5,Abstract IA-19: Deconstructing metastasis,Joan Massagué,2009,https://doi.org/10.1158/0008-5472.fbcr09-ia-19
6,"Nueva genética y gen-IA, ¿el status processualis civis IA?",José Sánchez Hernández,,https://doi.org/10.12795/iestscientia.2025.i01.12
7,EVIDENCE FOR THE PRESENCE OF AN Ia MOLECULE DETERMINED BY EACH OF THE Ia-3 and Ia-5 LOCI,"T.L. Delovitch, D.B. Murphy, H.O. McDevitt",1978,https://doi.org/10.1016/b978-0-12-483260-2.50008-2
8,Abstract IA-01: Targeting autophagy in pancreatic cancer,Joseph D. Mancias,2024,https://doi.org/10.1158/1538-7445.pancreatic24-ia-01
9,Abstract IA-05: Targeting KRAS for pancreatic cancer treatment,Channing J. Der,2024,https://doi.org/10.1158/1538-7445.pancreatic24-ia-05
10,Sem título,,,https://doi.org/10.29057/ia.v13i25
11,Encuentro de ideas para el desarrollo del mercado de vivienda: Presentación Banco Agrícola,,2007,https://doi.org/10.18235/0007066
12,Annual Accounts of the Banco de España 2024,,,https://doi.org/10.53479/39439
13,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2011,,2012,https://doi.org/10.18235/0005816
14,Banco Interamericano de Desenvolvimento relatório anual 2007,,,https://doi.org/10.18235/0005838
15,Banco Interamericano de Desarrollo informe anual 1971,,1972,https://doi.org/10.18235/0003158
16,Annual Accounts of the Banco de España 2023,,,https://doi.org/10.53479/36637
17,Annual Accounts of the Banco de España 2025,,,https://doi.org/10.53479/42785
18,Annual Accounts of the Banco de España 2022,,,https://doi.org/10.53479/29690
19,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2010,,2011,https://doi.org/10.18235/0005804
20,Banco Interamericano de Desarrollo informe sobre sostenibilidad 2007,,2008,https://doi.org/10.18235/0005809
21,Intake of Nutrient and Non-Nutrient Dietary Antioxidants. Contribution of Macromolecular Antioxidant Polyphenols in an Elderly Mediterranean Population,"Isabel Goñi, Ana Hernández-Galiot",,https://doi.org/10.3390/nu11092165
22,Type Ia Supernova Models and Progenitor Scenarios,"Ken'ichi Nomoto, Yasuomi Kamiya, Naohito Nakasato",2013,http://arxiv.org/abs/1302.3371v2
23,ZTF SN Ia DR2: Overview,"Mickael Rigault, Mathew Smith, Ariel Goobar, Kate Maguire, Georgios Dimitriadis, Umut Burgaz, Suhail Dhawan, Jesper Sollerman, Nicolas Regnault, Marek Kowalski, Melissa Amenouche, Marie Aubert, Chloé Barjou-Delayre, Julian Bautista, Josh S. Bloom, Bastien Carreres, Tracy X. Chen, Yannick Copin, Maxime Deckers, Dominique Fouchez, Christoffer Fremling, Lluis Galbany, Madeleine Ginolin, Matthew Graham, Mancy M. Kasliwal, W. D'Arcy Kenworthy, Young-Lo Kim, Dylan Kuhn, Frank F. Masci, Tomas Müller-Bravo, Adam Miller, Joel Johansson, Jakob Nordin, Peter Nugent, Igor Andreoni, Eric Bellm, Marc Betoule, Mahmoud Osman, Dan Perley, Brodie Popovic, Philippe Rosnet, Damiano Rosselli, Florian Ruppin, Robert Senzel, Ben Rusholme, Tassilo Schweyer, Jacco H. Terwel, Alice Townsend, Andy Tzanidakis, Avery Wold, Josiah Purdum, Yu-Jing Qin, Benjamin Racine, Simeon Reusch, Reed Riddle, Lin Yan",2024,http://arxiv.org/abs/2409.04346v2
24,ZTF SN Ia DR2: An environmental study of Type Ia supernovae using host galaxy image decomposition,"R. Senzel, K. Maguire, U. Burgaz, G. Dimitriadis, M. Rigault, A. Goobar, J. Johansson, M. Smith, M. Deckers, L. Galbany, M. Ginolin, L. Harvey, Y. -L. Kim, T. E. Muller-Bravo, P. Nugent, P. Rosnet, J. Sollerman, J. H. Terwel, R. R. Laher, D. Reiley, B. Rusholme",2024,http://arxiv.org/abs/2411.11986v1
25,The Progenitors of Type Ia Supernovae,M. Livio,1999,http://arxiv.org/abs/astro-ph/9903264v1
26,ZTF SNe Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,"L. Lacroix, N. Regnault, T. de Jaeger, M. Le Jeune, M. Betoule, J. -M. Colley, M. Bernard, M. Rigault, M. Smith, A. Goobar, K. Maguire, G. Dimitriadis, J. Nordin, J. Johansson, M. Aubert, C. Barjou, E. C. Bellm, S. Bongard, U. Burgaz, B. Carreres, D. Fouchez, F. Feinstein, L. Galbany, M. Ginolin, M. Graham, D. Kuhn, R. R. Laher, T. E. Müller-Bravo, J. Neveu, M. Osman, B. Popovic, B. Racine, P. Rosnet, D. Rosselli, R. Smith, J. Sollerman, J. H. Terwel, A. Townsend, A. Wold",2025,http://arxiv.org/abs/2509.04073v1
27,Type Ia Supernovae and Their Cosmological Implications,"A. V. Filippenko, A. G. Riess",1999,http://arxiv.org/abs/astro-ph/9905049v1
28,"Type Ia Supernova Progenitors, Environmental Effects, and Cosmic Supernova Rates","Ken'ichi Nomoto, Hideyuki Umeda, Izumi Hachisu, Mariko Kato, Chiaki Kobayashi, Takuji Tsujimoto",1999,http://arxiv.org/abs/astro-ph/9907386v1
29,He-accreting WDs as SNe Ia Progenitors,"Luciano Piersanti, Amedeo Tornambe', Lev Yungelson, Oscar Straniero",2011,http://arxiv.org/abs/1109.4786v1
30,Novae and accreting white dwarfs as progenitors of Type Ia supernovae,Mariko Kato,2011,http://arxiv.org/abs/1110.0055v1
31,Why Supersoft X-ray Fluxes are So Weak in Early-type Galaxies? -- A Clue to Type Ia SN Progenitors --,Mariko Kato,2011,http://arxiv.org/abs/1110.0056v1
32,Machine learning with sklearn,Thomas P. Trappenberg,2019,https://doi.org/10.1093/oso/9780198828044.003.0003
33,Optimization and Machine Learning,,2022,https://doi.org/10.1002/9781119902881
34,Why Use Automated Machine Learning?,"Kai R. Larsen, Daniel S. Becker",2021,https://doi.org/10.1093/oso/9780190941659.003.0001
35,Machine learning,,2011,https://doi.org/10.1017/cbo9780511975509.007
36,Machine Learning and Qualitative Reasoning,Ivan Bratko,1994,https://doi.org/10.1023/a:1022661713654
37,Editorial: Human and Machine Learning,Pat Langley,1986,https://doi.org/10.1023/a:1022854429410
38,Machine learning,,2012,https://doi.org/10.1017/cbo9780511804779.017
39,Machine Learning and Grammar Induction,Pat Langely,1987,https://doi.org/10.1023/a:1022808826027
40,Front Matter,,2022,https://doi.org/10.1002/9781119902881.fmatter
41,Machine Learning: A Maturing Field,Jaime Carbonell,1992,https://doi.org/10.1023/a:1022665512030
42,Changing Data Sources in the Age of Machine Learning for Official Statistics,"Cedric De Boom, Michael Reusens",2023,http://arxiv.org/abs/2306.04338v1
43,DOME: Recommendations for supervised machine learning validation in biology,"Ian Walsh, Dmytro Fishman, Dario Garcia-Gasulla, Tiina Titma, Gianluca Pollastri, The ELIXIR Machine Learning focus group, Jen Harrow, Fotis E. Psomopoulos, Silvio C. E. Tosatto",2020,http://arxiv.org/abs/2006.16189v4
44,Learning Curves for Decision Making in Supervised Machine Learning: A Survey,"Felix Mohr, Jan N. van Rijn",2022,http://arxiv.org/abs/2201.12150v2
45,Active learning for data streams: a survey,"Davide Cacciarelli, Murat Kulahci",2023,http://arxiv.org/abs/2302.08893v4
46,Physics-Inspired Interpretability Of Machine Learning Models,"Maximilian P Niroomand, David J Wales",2023,http://arxiv.org/abs/2304.02381v2
47,Privacy-preserving machine learning for healthcare: open challenges and future perspectives,"Alejandro Guerra-Manzanares, L. Julian Lechuga Lopez, Michail Maniatakos, Farah E. Shamout",2023,http://arxiv.org/abs/2303.15563v1
48,A Benchmark Study of Machine Learning Models for Online Fake News Detection,"Junaed Younus Khan, Md. Tawkat Islam Khondaker, Sadia Afroz, Gias Uddin, Anindya Iqbal",2019,http://arxiv.org/abs/1905.04749v2
49,MerLin: A Discovery Engine for Photonic and Hybrid Quantum Machine Learning,"Cassandre Notton, Benjamin Stott, Philippe Schoeb, Anthony Walsh, Grégoire Leboucher, Vincent Espitalier, Vassilis Apostolou, Louis-Félix Vigneux, Alexia Salavrakos, Jean Senellart",2026,http://arxiv.org/abs/2602.11092v2
50,Emotion in Reinforcement Learning Agents and Robots: A Survey,"Thomas M. Moerland, Joost Broekens, Catholijn M. Jonker",2017,http://arxiv.org/abs/1705.05172v1
51,Fourier Learning Machines: Nonharmonic Fourier-Based Neural Networks for Scientific Machine Learning,"Mominul Rubel, Adam Meyers, Gabriel Nicolosi",2025,http://arxiv.org/abs/2509.08759v3
52,Cybersecurity and cybersecurity culture,Gulsebnem Bishop,2025,https://doi.org/10.1201/9781003368496-1
53,Cybersecurity Origins,,2021,https://doi.org/10.7551/mitpress/11656.003.0003
54,Cybersecurity in Layers,,2021,https://doi.org/10.7551/mitpress/11656.003.0006
55,Cybersecurity for the Future,,2021,https://doi.org/10.7551/mitpress/11656.003.0010
56,Cybersecurity and sovereignty,,,https://doi.org/10.51174/ajdss.0302/vjiq5734
57,CYBERSECURITY MANAGEMENT OF IT PRODUCTS,"Ihor Frolov, Yanina Kolodinska",2024,https://doi.org/10.28925/2663-4023.2024.23.310317
58,Governmental Cybersecurity,Greg Austin,2018,https://doi.org/10.1007/978-3-319-68436-9_6
59,Cybersecurity Frameworks,Dan Weis,2024,https://doi.org/10.1007/979-8-8688-0785-5_5
60,Cybersecurity in Games,Cezary Bella,,https://doi.org/10.35467/cal/215976
61,Road Vehicles - Cybersecurity Engineering,,,https://doi.org/10.4271/iso/sae21434
62,Space Cybersecurity Norms,"Peter Sharfman, Samuel Sanders Visner",2023,http://arxiv.org/abs/2306.07441v1
63,Coherence-driven inference for cybersecurity,Steve Huntsman,2025,http://arxiv.org/abs/2509.18520v1
64,Synergistic Development of Cybersecurity and Functional Safety for Smart Electric Vehicles,Siddhesh Pimpale,2025,http://arxiv.org/abs/2511.07713v1
65,Are Enterprises Ready for Quantum-Safe Cybersecurity?,"Tran Duc Le, Phuc Hao Do, Truong Duy Dinh, Van Dai Pham",2025,http://arxiv.org/abs/2509.01731v1
66,"A Review of Quantum Cybersecurity: Threats, Risks and Opportunities","Md Jobair Hossain Faruk, Sharaban Tahora, Masrura Tasnim, Hossain Shahriar, Nazmus Sakib",2022,http://arxiv.org/abs/2207.03534v1
67,Applying Public Health Systematic Approaches to Cybersecurity: The Economics of Collective Defense,"Josiah Dykstra, William Yurcik",2026,http://arxiv.org/abs/2602.13869v1
68,Towards Autonomous Cybersecurity: An Intelligent AutoML Framework for Autonomous Intrusion Detection,"Li Yang, Abdallah Shami",2024,http://arxiv.org/abs/2409.03141v1
69,Autonomous Low Power IoT System Architecture for Cybersecurity Monitoring,"Zag ElSayed, Nelly Elsayed, Chengcheng Li, Magdy Bayoumi",2021,http://arxiv.org/abs/2106.00834v4
70,Cybersecurity Guidance for Smart Homes: A Cross-National Review of Government Sources,"Victor Jüttner, Erik Buchmann",2026,http://arxiv.org/abs/2603.21703v1
71,Classifying SMEs for Approaching Cybersecurity Competence and Awareness,"Alireza Shojaifar, Heini Jarvinen",2021,http://arxiv.org/abs/2110.05370v1
72,"bb. Besonderheiten aufgrund von §§ 354 Ia, 362 Ia AO",,,https://doi.org/10.3726/978-3-653-05155-1/13
73,Quantum Computing II,M. Suhail Zubairy,2020,https://doi.org/10.1093/oso/9780198854227.003.0016
74,Quantum Computing I,M. Suhail Zubairy,2020,https://doi.org/10.1093/oso/9780198854227.003.0015
75,Application: Quantum Computing,Michael G. Raymer,2017,https://doi.org/10.1093/wentk/9780190250720.003.0010
76,Distributed Quantum Computing – Classical and Quantum,,2023,https://doi.org/10.1002/9781394185542.ch3
77,Quantum Computing for Network Medicine-Based Epistatic Disease Mechanism Mining - Ready for Quantum Computing?,Jan Baumbach,,https://doi.org/10.58647/rexpo.25000079.v1
78,Distributed Quantum Computing – Distributed Control of Quantum Gates,,2023,https://doi.org/10.1002/9781394185542.ch4
79,Quantum computing,,2013,https://doi.org/10.1017/cbo9780511979309.011
80,Quantum Computing with Quantum Dots,,2008,https://doi.org/10.1201/9781420012293-23
81,Mathematics Behind Quantum Computing,Bhagvan Kommadi,2020,https://doi.org/10.1007/978-1-4842-6516-1_2
82,Quantum Computing Fundamentals,,2022,https://doi.org/10.1017/9781009099974.004
83,Tierkreis: A Dataflow Framework for Hybrid Quantum-Classical Computing,"Seyon Sivarajah, Lukas Heidemann, Alan Lawrence, Ross Duncan",2022,http://arxiv.org/abs/2211.02350v1
84,Quantum Computing: Vision and Challenges,"Sukhpal Singh Gill, Oktay Cetinkaya, Stefano Marrone, Daniel Claudino, David Haunschild, Leon Schlote, Huaming Wu, Carlo Ottaviani, Xiaoyuan Liu, Sree Pragna Machupalli, Kamalpreet Kaur, Priyansh Arora, Ji Liu, Ahmed Farouk, Houbing Herbert Song, Steve Uhlig, Kotagiri Ramamohanarao",2024,http://arxiv.org/abs/2403.02240v5
85,"Entangling Disciplines: Causality, Entropy and Time-Travel Paradoxes on a Quantum Computer",Maria Violaris,2025,http://arxiv.org/abs/2506.15909v1
86,Unifying communication paradigms in measurement-based delegated quantum computing,"Fabian Wiesner, Jens Eisert, Anna Pappa",2025,http://arxiv.org/abs/2506.21988v2
87,Arbitrary Ground State Observables from Quantum Computed Moments,"Harish J. Vallury, Lloyd C. L. Hollenberg",2023,http://arxiv.org/abs/2312.06975v1
88,Quantum computing online workshops and hackathon for Spanish speakers: A case study,"Alberto Maldonado-Romo, Lia Yeh",2023,http://arxiv.org/abs/2302.12119v1
89,Strengths and Weaknesses of Quantum Computing,"Charles H. Bennett, Ethan Bernstein, Gilles Brassard, Umesh Vazirani",1997,http://arxiv.org/abs/quant-ph/9701001v1
90,Quantum Computing in the NISQ era and beyond,John Preskill,2018,http://arxiv.org/abs/1801.00862v3
91,Quantum computing and information extraction for a dynamical quantum system,"Giuliano Benenti, Giulio Casati, Simone Montangero",2004,http://arxiv.org/abs/quant-ph/0402010v1
92,Cavity QED and Quantum Computation in the Weak Coupling Regime II : Complete Construction of the Controlled-Controlled NOT Gate,"Kazuyuki Fujii, Kyoko Higashida, Ryosuke Kato, Yukako Wada",2005,http://arxiv.org/abs/quant-ph/0501046v1
93,Acknowledgment to the Reviewers of IoT in 2022,IoT IoT Editorial Office,,https://doi.org/10.3390/iot4010003
94,Acknowledgment to Reviewers of IoT in 2021,,,https://doi.org/10.3390/iot3010007
95,Internet of things (IoT) � Industrial IoT,,,https://doi.org/10.3403/30419733
96,Internet of things (IoT) � Industrial IoT,,,https://doi.org/10.3403/30419733u
97,Sem título,,,https://doi.org/10.3030/777855
98,Internet of things (IoT) � Real-time IoT framework,,,https://doi.org/10.3403/30411141
99,Internet of Things (IoT). Interoperability for IoT systems,,,https://doi.org/10.3403/bsisoiec21823
100,Azure IoT Hub,Scott Klein,2017,https://doi.org/10.1007/978-1-4842-2143-3_3
101,Advancing IoT Platforms Interoperability,Ovidiu Vermesan,2018,https://doi.org/10.13052/rp-9788770220057
102,IoT Analytics,,2021,https://doi.org/10.1017/9781108913560.019
103,Security for the Industrial IoT: The Case for Information-Centric Networking,"Michael Frey, Cenk Gündoğan, Peter Kietzmann, Martine Lenders, Hauke Petersen, Thomas C. Schmidt, Felix Shzu-Juraschek, Matthias Wählisch",2018,http://arxiv.org/abs/1810.04645v2
104,Marine IoT Systems with Space-Air-Sea Integrated Networks: Hybrid LEO and UAV Edge Computing,"Sooyeob Jung, Seongah Jeong, Jinkyu Kang, Joonhyuk Kang",2023,http://arxiv.org/abs/2301.03815v1
105,Introduction to IoT,"Tajkia Nuri Ananna, Munshi Saifuzzaman",2023,http://arxiv.org/abs/2312.06689v2
106,Towards Smart Healthcare: Challenges and Opportunities in IoT and ML,"Munshi Saifuzzaman, Tajkia Nuri Ananna",2023,http://arxiv.org/abs/2312.05530v2
107,Fostering new Vertical and Horizontal IoT Applications with Intelligence Everywhere,"Hung Cao, Monica Wachowicz, Rene Richard, Ching-Hsien Hsu",2023,http://arxiv.org/abs/2310.00346v1
108,Standards-Based Worldwide Semantic Interoperability for IoT,"Erno Kovacs, Martin Bauer, Jaeho Kim, Jaeseok Yun, Franck Le Gall, Mengxuan Zhao",2018,http://arxiv.org/abs/1808.00386v1
109,The Role of UAV-IoT Networks in Future Wildfire Detection,"Osama M. Bushnaq, Anas Chaaban, Tareq Y. Al-Naffouri",2020,http://arxiv.org/abs/2007.14158v1
110,Twenty-one key factors to choose an IoT platform: Theoretical framework and its applications,"Mehar Ullah, Pedro H. J. Nardelli, Annika Wolff, Kari Smolander",2020,http://arxiv.org/abs/2004.04924v1
111,Enhancing IoT Security: A Novel Feature Engineering Approach for ML-Based Intrusion Detection Systems,"Afsaneh Mahanipour, Hana Khamfroush",2024,http://arxiv.org/abs/2404.19114v1
112,Profiling and Improving the Duty-Cycling Performance of Linux-based IoT Devices,"Immanuel Amirtharaj, Tai Groot, Behnam Dezfouli",2018,http://arxiv.org/abs/1808.10097v2
113,Revista 137,IA I.P.N.,2026,https://doi.org/10.35426/iav55n137
114,Quantum Computing at Fermilab,Gabriel Perdue,2024,https://doi.org/10.2172/2361088
115,Healthcare IoT,,2021,https://doi.org/10.1017/9781108913560.016
